,solidity8,wl_ratio,group,sample_number
0,0.35060537830019006,0.3665059524976978,monocots,3.01.1.1
1,0.37970743150924574,0.16013324398575846,monocots,3.01.1.10
2,0.3795184659334393,0.15812559984766897,monocots,3.01.1.11
3,0.260559401110523,0.20302596131367495,monocots,3.01.1.12
4,0.4190243093539653,0.39882632637346077,monocots,3.01.1.13
5,0.40538267560159125,0.17318629978440414,monocots,3.01.1.14
6,0.7073116029030968,0.21777641872429554,monocots,3.01.1.15
7,0.49238005198278845,0.18910193572886258,monocots,3.01.1.16
8,0.2577590651379665,0.10618711637743282,monocots,3.01.1.17
9,0.6301788131111745,0.2887665573252235,monocots,3.01.1.18
10,0.3624256018478967,0.16195341709646854,monocots,3.01.1.19
11,0.6186224389273033,0.17937611670269063,monocots,3.01.1.2
12,0.7568338951245087,0.5741200724139215,monocots,3.01.1.20
13,0.6150325253546324,0.31876773108216583,monocots,3.01.1.21
14,0.2395534388455388,0.1876247217199629,monocots,3.01.1.22
15,0.433461890264236,0.283990752082296,monocots,3.01.1.23
16,0.38239000280122015,0.19492230576115865,monocots,3.01.1.24
17,0.7056046202491312,0.3191636429702116,monocots,3.01.1.25
18,0.35484168310742686,0.17304229098997606,monocots,3.01.1.26
19,0.35443602231023685,0.23381267303140726,monocots,3.01.1.27
20,0.4679520445188114,0.23544629893984878,monocots,3.01.1.28
21,0.5002591400215406,0.1795544757042736,monocots,3.01.1.29
22,0.5593162556210217,0.21139925040138435,monocots,3.01.1.3
23,0.7300509643919038,0.382932510038675,monocots,3.01.1.30
24,0.44834046912866654,0.13444789559032097,monocots,3.01.1.4
25,0.7447952483773362,0.19830471218721013,monocots,3.01.1.5
26,0.662512924300623,0.2840094665933316,monocots,3.01.1.6
27,0.3882754067933574,0.1509288079232752,monocots,3.01.1.7
28,0.2637418817138436,0.2512448349608494,monocots,3.01.1.8
29,0.32121502090376364,0.1935311730691961,monocots,3.01.1.9
30,0.314785350855016,0.043887206190937555,monocots,3.02.1.1
31,0.12708711915713553,0.05938375785067918,monocots,3.02.1.10
32,0.16001590960443624,0.04086760960916202,monocots,3.02.1.11
33,0.1955524778271143,0.037106750244751754,monocots,3.02.1.12
34,0.32948310581221835,0.06503938952962716,monocots,3.02.1.13
35,0.0971392083915915,0.04274892134309728,monocots,3.02.1.14
36,0.08553747717320823,0.04199196447629123,monocots,3.02.1.15
37,0.3150874173268608,0.06292908491761333,monocots,3.02.1.16
38,0.3100605528002318,0.06235344228027541,monocots,3.02.1.17
39,0.22162880242943764,0.042105687827158726,monocots,3.02.1.18
40,0.19787322747294903,0.04338551693353669,monocots,3.02.1.19
41,0.18790108134211003,0.05314542586889205,monocots,3.02.1.2
42,0.25606796513952934,0.057826809981266304,monocots,3.02.1.20
43,0.1901369833572596,0.04416312782752871,monocots,3.02.1.21
44,0.20264365960970546,0.04642373801469995,monocots,3.02.1.22
45,0.1566837692875888,0.04648762557623741,monocots,3.02.1.23
46,0.30096046842185725,0.04569641262024393,monocots,3.02.1.24
47,0.1953757585463724,0.06976356602453233,monocots,3.02.1.25
48,0.21048686998165922,0.05552106268722222,monocots,3.02.1.26
49,0.33213245690322984,0.15183865531592508,monocots,3.02.1.27
50,0.23192046596299723,0.0615456215216597,monocots,3.02.1.28
51,0.3892766033182414,0.11319392779277301,monocots,3.02.1.29
52,0.3084907310292311,0.06419587133815366,monocots,3.02.1.3
53,0.44283348572099557,0.13377495479227627,monocots,3.02.1.30
54,0.17625696381812367,0.05560177402449046,monocots,3.02.1.4
55,0.2589738483604279,0.053906936657272836,monocots,3.02.1.5
56,0.36983027946593455,0.056812485062790574,monocots,3.02.1.6
